time
ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,StrainGauge
1.172,103.000000,69.000000,3569.100000,346522.184600,1757.726000
2.186,103.000000,69.000000,3569.100000,346522.184600,632.456000
2.207,103.000000,69.000000,3569.100000,137986.771800,632.456000
2.223,41.000000,69.000000,3569.100000,137986.771800,632.456000
2.237,41.000000,31.000000,3569.100000,137986.771800,632.456000
2.251,41.000000,31.000000,3638.700000,137986.771800,632.456000
3.239,41.000000,31.000000,3638.700000,137986.771800,1382.636000
3.328,41.000000,31.000000,3638.700000,416079.837000,1382.636000
3.348,124.000000,31.000000,3638.700000,416079.837000,1382.636000
3.369,124.000000,0.000000,3638.700000,416079.837000,1382.636000
3.383,124.000000,0.000000,2440.100000,416079.837000,1382.636000
4.287,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.323,124.000000,0.000000,2440.100000,396139.626400,632.456000
1.071,103.000000,69.000000,3569.100000,346522.184600,1757.726000
1.997,103.000000,69.000000,3569.100000,346522.184600,632.456000
2.017,103.000000,69.000000,3569.100000,137986.771800,632.456000
2.034,41.000000,69.000000,3569.100000,137986.771800,632.456000
2.048,41.000000,31.000000,3569.100000,137986.771800,632.456000
2.061,41.000000,31.000000,3638.700000,137986.771800,632.456000
3.000,41.000000,31.000000,3638.700000,137986.771800,1382.636000
3.073,41.000000,31.000000,3638.700000,416079.837000,1382.636000
3.094,124.000000,31.000000,3638.700000,416079.837000,1382.636000
3.114,124.000000,0.000000,3638.700000,416079.837000,1382.636000
3.129,124.000000,0.000000,2440.100000,416079.837000,1382.636000
4.001,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.038,124.000000,0.000000,2440.100000,396139.626400,632.456000
1.086,103.000000,69.000000,3569.100000,346522.184600,1757.726000
2.063,103.000000,69.000000,3569.100000,346522.184600,632.456000
2.085,103.000000,69.000000,3569.100000,137986.771800,632.456000
2.103,41.000000,69.000000,3569.100000,137986.771800,632.456000
2.117,41.000000,31.000000,3569.100000,137986.771800,632.456000
2.133,41.000000,31.000000,3638.700000,137986.771800,632.456000
3.064,41.000000,31.000000,3638.700000,137986.771800,1382.636000
3.127,41.000000,31.000000,3638.700000,416079.837000,1382.636000
3.148,124.000000,31.000000,3638.700000,416079.837000,1382.636000
3.169,124.000000,0.000000,3638.700000,416079.837000,1382.636000
3.184,124.000000,0.000000,2440.100000,416079.837000,1382.636000
4.065,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.118,124.000000,0.000000,2440.100000,396139.626400,632.456000
1.161,103.000000,69.000000,3569.100000,346522.184600,1757.726000
2.187,103.000000,69.000000,3569.100000,346522.184600,632.456000
2.206,103.000000,69.000000,3569.100000,137986.771800,632.456000
2.223,41.000000,69.000000,3569.100000,137986.771800,632.456000
2.237,41.000000,31.000000,3569.100000,137986.771800,632.456000
2.251,41.000000,31.000000,3638.700000,137986.771800,632.456000
3.236,41.000000,31.000000,3638.700000,137986.771800,1382.636000
3.299,41.000000,31.000000,3638.700000,416079.837000,1382.636000
3.320,124.000000,31.000000,3638.700000,416079.837000,1382.636000
3.341,124.000000,0.000000,3638.700000,416079.837000,1382.636000
3.355,124.000000,0.000000,2440.100000,416079.837000,1382.636000
4.290,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.342,124.000000,0.000000,2440.100000,396139.626400,632.456000
1.060,103.000000,69.000000,3569.100000,346522.184600,1757.726000
1.985,103.000000,69.000000,3569.100000,346522.184600,632.456000
2.003,103.000000,69.000000,3569.100000,137986.771800,632.456000
2.019,41.000000,69.000000,3569.100000,137986.771800,632.456000
2.034,41.000000,31.000000,3569.100000,137986.771800,632.456000
2.048,41.000000,31.000000,3638.700000,137986.771800,632.456000
2.936,41.000000,31.000000,3638.700000,137986.771800,1382.636000
3.009,41.000000,31.000000,3638.700000,416079.837000,1382.636000
3.032,124.000000,31.000000,3638.700000,416079.837000,1382.636000
3.047,124.000000,0.000000,3638.700000,416079.837000,1382.636000
3.060,124.000000,0.000000,2440.100000,416079.837000,1382.636000
3.911,124.000000,0.000000,2440.100000,416079.837000,632.456000
3.964,124.000000,0.000000,2440.100000,396139.626400,632.456000
3.992,118.000000,0.000000,2440.100000,396139.626400,632.456000
4.022,118.000000,15.000000,2440.100000,396139.626400,632.456000
4.050,118.000000,15.000000,360.400000,396139.626400,632.456000
4.913,118.000000,15.000000,360.400000,396139.626400,1157.582000
4.951,118.000000,15.000000,360.400000,345550.556400,1157.582000
4.978,102.000000,15.000000,360.400000,345550.556400,1157.582000
5.014,102.000000,251.000000,360.400000,345550.556400,1157.582000
5.043,102.000000,251.000000,2721.400000,345550.556400,1157.582000
5.907,102.000000,251.000000,2721.400000,345550.556400,1532.672000
5.941,102.000000,251.000000,2721.400000,125428.339800,1532.672000
5.981,37.000000,251.000000,2721.400000,125428.339800,1532.672000
6.012,37.000000,97.000000,2721.400000,125428.339800,1532.672000
6.042,37.000000,97.000000,2771.500000,125428.339800,1532.672000
6.912,37.000000,97.000000,2771.500000,125428.339800,707.474000
7.045,37.000000,97.000000,2771.500000,-282723.275200,707.474000
7.085,171.000000,97.000000,2771.500000,-282723.275200,707.474000
7.115,171.000000,189.000000,2771.500000,-282723.275200,707.474000
7.144,171.000000,189.000000,6068.000000,-282723.275200,707.474000
7.907,171.000000,189.000000,6068.000000,-282723.275200,3183.068000
7.998,171.000000,189.000000,6068.000000,49547.982400,3183.068000
8.031,14.000000,189.000000,6068.000000,49547.982400,3183.068000
8.060,14.000000,196.000000,6068.000000,49547.982400,3183.068000
8.090,14.000000,196.000000,1383.200000,49547.982400,3183.068000
8.912,14.000000,196.000000,1383.200000,49547.982400,3183.068000
8.997,14.000000,196.000000,1383.200000,376152.173200,3183.068000
9.037,112.000000,196.000000,1383.200000,376152.173200,3183.068000
9.067,112.000000,26.000000,1383.200000,376152.173200,3183.068000
9.098,112.000000,26.000000,873.800000,376152.173200,3183.068000
9.918,112.000000,26.000000,873.800000,376152.173200,1007.546000
9.950,112.000000,26.000000,873.800000,209741.630400,1007.546000
9.981,62.000000,26.000000,873.800000,209741.630400,1007.546000
10.010,62.000000,130.000000,873.800000,209741.630400,1007.546000
10.043,62.000000,130.000000,108.000000,209741.630400,1007.546000
10.912,62.000000,130.000000,108.000000,209741.630400,1682.708000
10.963,62.000000,130.000000,108.000000,-376346.452800,1682.708000
11.006,143.000000,130.000000,108.000000,-376346.452800,1682.708000
11.049,143.000000,215.000000,108.000000,-376346.452800,1682.708000
11.092,143.000000,215.000000,290.400000,-376346.452800,1682.708000
11.913,143.000000,215.000000,290.400000,-376346.452800,2132.816000
12.038,143.000000,215.000000,290.400000,169801.736800,2132.816000
12.070,50.000000,215.000000,290.400000,169801.736800,2132.816000
12.103,50.000000,154.000000,290.400000,169801.736800,2132.816000
12.131,50.000000,154.000000,5534.000000,169801.736800,2132.816000
12.913,50.000000,154.000000,5534.000000,169801.736800,3033.032000
12.978,50.000000,154.000000,5534.000000,9987.645200,3033.032000
13.006,2.000000,154.000000,5534.000000,9987.645200,3033.032000
13.049,2.000000,249.000000,5534.000000,9987.645200,3033.032000
13.078,2.000000,249.000000,6533.000000,9987.645200,3033.032000
13.969,2.000000,249.000000,6533.000000,9987.645200,-117.724000
14.073,2.000000,249.000000,6533.000000,-15022.178800,-117.724000
14.115,251.000000,249.000000,6533.000000,-15022.178800,-117.724000
14.146,251.000000,133.000000,6533.000000,-15022.178800,-117.724000
14.173,251.000000,133.000000,5889.800000,-15022.178800,-117.724000
14.927,251.000000,133.000000,5889.800000,-15022.178800,2807.978000
14.987,251.000000,133.000000,5889.800000,393913.560200,2807.978000
15.013,117.000000,133.000000,5889.800000,393913.560200,2807.978000
15.041,117.000000,101.000000,5889.800000,393913.560200,2807.978000
15.069,117.000000,101.000000,1439.300000,393913.560200,2807.978000
15.932,117.000000,101.000000,1439.300000,393913.560200,1007.546000
16.041,117.000000,101.000000,1439.300000,-292890.826200,1007.546000
16.068,168.000000,101.000000,1439.300000,-292890.826200,1007.546000
16.095,168.000000,182.000000,1439.300000,-292890.826200,1007.546000
16.123,168.000000,182.000000,1332.500000,-292890.826200,1007.546000
16.908,168.000000,182.000000,1332.500000,-292890.826200,1007.546000
16.962,168.000000,182.000000,1332.500000,18441.439800,1007.546000
16.988,5.000000,182.000000,1332.500000,18441.439800,1007.546000
17.014,5.000000,126.000000,1332.500000,18441.439800,1007.546000
17.041,5.000000,126.000000,6358.300000,18441.439800,1007.546000
17.913,5.000000,126.000000,6358.300000,18441.439800,1157.582000
18.044,5.000000,126.000000,6358.300000,-179318.832000,1157.582000
18.089,202.000000,126.000000,6358.300000,-179318.832000,1157.582000
18.117,202.000000,143.000000,6358.300000,-179318.832000,1157.582000
18.144,202.000000,143.000000,385.600000,-179318.832000,1157.582000
18.908,202.000000,143.000000,385.600000,-179318.832000,332.384000
18.999,202.000000,143.000000,385.600000,104261.943600,332.384000
19.029,31.000000,143.000000,385.600000,104261.943600,332.384000
19.057,31.000000,18.000000,385.600000,104261.943600,332.384000
19.084,31.000000,18.000000,3637.400000,104261.943600,332.384000
19.909,31.000000,18.000000,3637.400000,104261.943600,3108.050000
20.002,31.000000,18.000000,3637.400000,67685.122200,3108.050000
20.030,20.000000,18.000000,3637.400000,67685.122200,3108.050000
20.057,20.000000,43.000000,3637.400000,67685.122200,3108.050000
20.085,20.000000,43.000000,6324.300000,67685.122200,3108.050000
20.923,20.000000,43.000000,6324.300000,67685.122200,1832.744000
20.965,20.000000,43.000000,6324.300000,199667.009800,1832.744000
20.991,59.000000,43.000000,6324.300000,199667.009800,1832.744000
21.019,59.000000,129.000000,6324.300000,199667.009800,1832.744000
21.048,59.000000,129.000000,2516.100000,199667.009800,1832.744000
21.910,59.000000,129.000000,2516.100000,199667.009800,2507.906000
21.968,59.000000,129.000000,2516.100000,-285622.707400,2507.906000
22.014,170.000000,129.000000,2516.100000,-285622.707400,2507.906000
22.050,170.000000,224.000000,2516.100000,-285622.707400,2507.906000
22.077,170.000000,224.000000,4697.500000,-285622.707400,2507.906000
22.907,170.000000,224.000000,4697.500000,-285622.707400,1832.744000
22.961,170.000000,224.000000,4697.500000,172790.634400,1832.744000
22.991,51.000000,224.000000,4697.500000,172790.634400,1832.744000
23.021,51.000000,126.000000,4697.500000,172790.634400,1832.744000
23.049,51.000000,126.000000,5762.000000,172790.634400,1832.744000
23.914,51.000000,126.000000,5762.000000,172790.634400,1532.672000
23.972,51.000000,126.000000,5762.000000,-230477.192200,1532.672000
24.019,187.000000,126.000000,5762.000000,-230477.192200,1532.672000
24.045,187.000000,79.000000,5762.000000,-230477.192200,1532.672000
24.072,187.000000,79.000000,6459.900000,-230477.192200,1532.672000
24.939,187.000000,79.000000,6459.900000,-230477.192200,1832.744000
25.047,187.000000,79.000000,6459.900000,37640.211000,1832.744000
25.169,11.000000,79.000000,6459.900000,37640.211000,1832.744000
25.207,11.000000,55.000000,6459.900000,37640.211000,1832.744000
25.240,11.000000,55.000000,4719.900000,37640.211000,1832.744000
25.914,11.000000,55.000000,4719.900000,37640.211000,2958.014000
26.038,11.000000,55.000000,4719.900000,-26524.135000,2958.014000
26.081,248.000000,55.000000,4719.900000,-26524.135000,2958.014000
26.111,248.000000,24.000000,4719.900000,-26524.135000,2958.014000
26.141,248.000000,24.000000,2418.900000,-26524.135000,2958.014000
26.926,248.000000,24.000000,2418.900000,-26524.135000,2582.924000
26.970,248.000000,24.000000,2418.900000,-348719.849400,2582.924000
27.000,152.000000,24.000000,2418.900000,-348719.849400,2582.924000
27.031,152.000000,18.000000,2418.900000,-348719.849400,2582.924000
27.062,152.000000,18.000000,5156.900000,-348719.849400,2582.924000
27.936,152.000000,18.000000,5156.900000,-348719.849400,2207.834000
28.042,152.000000,18.000000,5156.900000,-226950.084400,2207.834000
28.073,188.000000,18.000000,5156.900000,-226950.084400,2207.834000
28.104,188.000000,93.000000,5156.900000,-226950.084400,2207.834000
28.136,188.000000,93.000000,541.800000,-226950.084400,2207.834000
28.908,188.000000,93.000000,541.800000,-226950.084400,107.330000
28.999,188.000000,93.000000,541.800000,-280456.799400,107.330000
29.031,172.000000,93.000000,541.800000,-280456.799400,107.330000
29.062,172.000000,106.000000,541.800000,-280456.799400,107.330000
29.093,172.000000,106.000000,5533.100000,-280456.799400,107.330000
29.913,172.000000,106.000000,5533.100000,-280456.799400,3258.086000
29.993,172.000000,106.000000,5533.100000,-219610.461800,3258.086000
30.021,190.000000,106.000000,5533.100000,-219610.461800,3258.086000
30.050,190.000000,141.000000,5533.100000,-219610.461800,3258.086000
30.080,190.000000,141.000000,337.100000,-219610.461800,3258.086000
30.934,190.000000,141.000000,337.100000,-219610.461800,2958.014000
31.037,190.000000,141.000000,337.100000,184542.276400,2958.014000
31.069,54.000000,141.000000,337.100000,184542.276400,2958.014000
31.121,54.000000,255.000000,337.100000,184542.276400,2958.014000
