ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,StrainGauge
4.301,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.335,124.000000,0.000000,2440.100000,396139.626400,632.456000
4.016,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.052,124.000000,0.000000,2440.100000,396139.626400,632.456000
4.081,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.132,124.000000,0.000000,2440.100000,396139.626400,632.456000
4.304,124.000000,0.000000,2440.100000,416079.837000,632.456000
4.356,124.000000,0.000000,2440.100000,396139.626400,632.456000
3.925,124.000000,0.000000,2440.100000,416079.837000,632.456000
3.978,124.000000,0.000000,2440.100000,396139.626400,632.456000
4.006,118.000000,0.000000,2440.100000,396139.626400,632.456000
4.036,118.000000,15.000000,2440.100000,396139.626400,632.456000
4.064,118.000000,15.000000,360.400000,396139.626400,632.456000
4.929,118.000000,15.000000,360.400000,396139.626400,1157.582000
4.965,118.000000,15.000000,360.400000,345550.556400,1157.582000
4.992,102.000000,15.000000,360.400000,345550.556400,1157.582000
5.029,102.000000,251.000000,360.400000,345550.556400,1157.582000
5.057,102.000000,251.000000,2721.400000,345550.556400,1157.582000
5.927,102.000000,251.000000,2721.400000,345550.556400,1532.672000
5.959,102.000000,251.000000,2721.400000,125428.339800,1532.672000
5.996,37.000000,251.000000,2721.400000,125428.339800,1532.672000
6.027,37.000000,97.000000,2721.400000,125428.339800,1532.672000
6.057,37.000000,97.000000,2771.500000,125428.339800,1532.672000
6.931,37.000000,97.000000,2771.500000,125428.339800,707.474000
7.060,37.000000,97.000000,2771.500000,-282723.275200,707.474000
7.100,171.000000,97.000000,2771.500000,-282723.275200,707.474000
7.130,171.000000,189.000000,2771.500000,-282723.275200,707.474000
7.159,171.000000,189.000000,6068.000000,-282723.275200,707.474000
7.921,171.000000,189.000000,6068.000000,-282723.275200,3183.068000
8.014,171.000000,189.000000,6068.000000,49547.982400,3183.068000
8.045,14.000000,189.000000,6068.000000,49547.982400,3183.068000
8.075,14.000000,196.000000,6068.000000,49547.982400,3183.068000
8.105,14.000000,196.000000,1383.200000,49547.982400,3183.068000
8.926,14.000000,196.000000,1383.200000,49547.982400,3183.068000
9.012,14.000000,196.000000,1383.200000,376152.173200,3183.068000
9.053,112.000000,196.000000,1383.200000,376152.173200,3183.068000
9.083,112.000000,26.000000,1383.200000,376152.173200,3183.068000
9.113,112.000000,26.000000,873.800000,376152.173200,3183.068000
9.933,112.000000,26.000000,873.800000,376152.173200,1007.546000
9.964,112.000000,26.000000,873.800000,209741.630400,1007.546000
9.996,62.000000,26.000000,873.800000,209741.630400,1007.546000
10.026,62.000000,130.000000,873.800000,209741.630400,1007.546000
10.058,62.000000,130.000000,108.000000,209741.630400,1007.546000
10.927,62.000000,130.000000,108.000000,209741.630400,1682.708000
10.979,62.000000,130.000000,108.000000,-376346.452800,1682.708000
11.022,143.000000,130.000000,108.000000,-376346.452800,1682.708000
11.064,143.000000,215.000000,108.000000,-376346.452800,1682.708000
11.107,143.000000,215.000000,290.400000,-376346.452800,1682.708000
11.927,143.000000,215.000000,290.400000,-376346.452800,2132.816000
12.053,143.000000,215.000000,290.400000,169801.736800,2132.816000
12.085,50.000000,215.000000,290.400000,169801.736800,2132.816000
12.117,50.000000,154.000000,290.400000,169801.736800,2132.816000
12.145,50.000000,154.000000,5534.000000,169801.736800,2132.816000
12.927,50.000000,154.000000,5534.000000,169801.736800,3033.032000
12.992,50.000000,154.000000,5534.000000,9987.645200,3033.032000
13.021,2.000000,154.000000,5534.000000,9987.645200,3033.032000
13.064,2.000000,249.000000,5534.000000,9987.645200,3033.032000
13.092,2.000000,249.000000,6533.000000,9987.645200,3033.032000
13.991,2.000000,249.000000,6533.000000,9987.645200,-117.724000
14.087,2.000000,249.000000,6533.000000,-15022.178800,-117.724000
14.129,251.000000,249.000000,6533.000000,-15022.178800,-117.724000
14.159,251.000000,133.000000,6533.000000,-15022.178800,-117.724000
14.189,251.000000,133.000000,5889.800000,-15022.178800,-117.724000
14.940,251.000000,133.000000,5889.800000,-15022.178800,2807.978000
15.000,251.000000,133.000000,5889.800000,393913.560200,2807.978000
15.027,117.000000,133.000000,5889.800000,393913.560200,2807.978000
15.055,117.000000,101.000000,5889.800000,393913.560200,2807.978000
15.083,117.000000,101.000000,1439.300000,393913.560200,2807.978000
15.950,117.000000,101.000000,1439.300000,393913.560200,1007.546000
16.054,117.000000,101.000000,1439.300000,-292890.826200,1007.546000
16.082,168.000000,101.000000,1439.300000,-292890.826200,1007.546000
16.110,168.000000,182.000000,1439.300000,-292890.826200,1007.546000
16.137,168.000000,182.000000,1332.500000,-292890.826200,1007.546000
16.925,168.000000,182.000000,1332.500000,-292890.826200,1007.546000
16.975,168.000000,182.000000,1332.500000,18441.439800,1007.546000
17.001,5.000000,182.000000,1332.500000,18441.439800,1007.546000
17.028,5.000000,126.000000,1332.500000,18441.439800,1007.546000
17.055,5.000000,126.000000,6358.300000,18441.439800,1007.546000
17.927,5.000000,126.000000,6358.300000,18441.439800,1157.582000
18.059,5.000000,126.000000,6358.300000,-179318.832000,1157.582000
18.104,202.000000,126.000000,6358.300000,-179318.832000,1157.582000
18.131,202.000000,143.000000,6358.300000,-179318.832000,1157.582000
18.158,202.000000,143.000000,385.600000,-179318.832000,1157.582000
18.926,202.000000,143.000000,385.600000,-179318.832000,332.384000
19.013,202.000000,143.000000,385.600000,104261.943600,332.384000
19.043,31.000000,143.000000,385.600000,104261.943600,332.384000
19.071,31.000000,18.000000,385.600000,104261.943600,332.384000
19.098,31.000000,18.000000,3637.400000,104261.943600,332.384000
19.927,31.000000,18.000000,3637.400000,104261.943600,3108.050000
20.016,31.000000,18.000000,3637.400000,67685.122200,3108.050000
20.044,20.000000,18.000000,3637.400000,67685.122200,3108.050000
20.071,20.000000,43.000000,3637.400000,67685.122200,3108.050000
20.099,20.000000,43.000000,6324.300000,67685.122200,3108.050000
20.937,20.000000,43.000000,6324.300000,67685.122200,1832.744000
20.978,20.000000,43.000000,6324.300000,199667.009800,1832.744000
21.006,59.000000,43.000000,6324.300000,199667.009800,1832.744000
21.034,59.000000,129.000000,6324.300000,199667.009800,1832.744000
21.062,59.000000,129.000000,2516.100000,199667.009800,1832.744000
21.928,59.000000,129.000000,2516.100000,199667.009800,2507.906000
21.982,59.000000,129.000000,2516.100000,-285622.707400,2507.906000
22.027,170.000000,129.000000,2516.100000,-285622.707400,2507.906000
22.063,170.000000,224.000000,2516.100000,-285622.707400,2507.906000
22.091,170.000000,224.000000,4697.500000,-285622.707400,2507.906000
22.927,170.000000,224.000000,4697.500000,-285622.707400,1832.744000
22.975,170.000000,224.000000,4697.500000,172790.634400,1832.744000
23.005,51.000000,224.000000,4697.500000,172790.634400,1832.744000
23.035,51.000000,126.000000,4697.500000,172790.634400,1832.744000
23.063,51.000000,126.000000,5762.000000,172790.634400,1832.744000
23.927,51.000000,126.000000,5762.000000,172790.634400,1532.672000
23.985,51.000000,126.000000,5762.000000,-230477.192200,1532.672000
24.032,187.000000,126.000000,5762.000000,-230477.192200,1532.672000
24.059,187.000000,79.000000,5762.000000,-230477.192200,1532.672000
24.087,187.000000,79.000000,6459.900000,-230477.192200,1532.672000
24.953,187.000000,79.000000,6459.900000,-230477.192200,1832.744000
25.061,187.000000,79.000000,6459.900000,37640.211000,1832.744000
25.189,11.000000,79.000000,6459.900000,37640.211000,1832.744000
25.225,11.000000,55.000000,6459.900000,37640.211000,1832.744000
25.256,11.000000,55.000000,4719.900000,37640.211000,1832.744000
25.932,11.000000,55.000000,4719.900000,37640.211000,2958.014000
26.053,11.000000,55.000000,4719.900000,-26524.135000,2958.014000
26.097,248.000000,55.000000,4719.900000,-26524.135000,2958.014000
26.126,248.000000,24.000000,4719.900000,-26524.135000,2958.014000
26.157,248.000000,24.000000,2418.900000,-26524.135000,2958.014000
26.942,248.000000,24.000000,2418.900000,-26524.135000,2582.924000
26.985,248.000000,24.000000,2418.900000,-348719.849400,2582.924000
27.016,152.000000,24.000000,2418.900000,-348719.849400,2582.924000
27.046,152.000000,18.000000,2418.900000,-348719.849400,2582.924000
27.077,152.000000,18.000000,5156.900000,-348719.849400,2582.924000
27.956,152.000000,18.000000,5156.900000,-348719.849400,2207.834000
28.058,152.000000,18.000000,5156.900000,-226950.084400,2207.834000
28.089,188.000000,18.000000,5156.900000,-226950.084400,2207.834000
28.120,188.000000,93.000000,5156.900000,-226950.084400,2207.834000
28.151,188.000000,93.000000,541.800000,-226950.084400,2207.834000
28.927,188.000000,93.000000,541.800000,-226950.084400,107.330000
29.016,188.000000,93.000000,541.800000,-280456.799400,107.330000
29.046,172.000000,93.000000,541.800000,-280456.799400,107.330000
29.078,172.000000,106.000000,541.800000,-280456.799400,107.330000
29.109,172.000000,106.000000,5533.100000,-280456.799400,107.330000
29.928,172.000000,106.000000,5533.100000,-280456.799400,3258.086000
30.007,172.000000,106.000000,5533.100000,-219610.461800,3258.086000
30.036,190.000000,106.000000,5533.100000,-219610.461800,3258.086000
30.065,190.000000,141.000000,5533.100000,-219610.461800,3258.086000
30.094,190.000000,141.000000,337.100000,-219610.461800,3258.086000
30.951,190.000000,141.000000,337.100000,-219610.461800,2958.014000
31.052,190.000000,141.000000,337.100000,184542.276400,2958.014000
31.083,54.000000,141.000000,337.100000,184542.276400,2958.014000
31.136,54.000000,255.000000,337.100000,184542.276400,2958.014000
31.165,54.000000,255.000000,3003.800000,184542.276400,2958.014000
31.929,54.000000,255.000000,3003.800000,184542.276400,107.330000
32.010,54.000000,255.000000,3003.800000,266495.447200,107.330000
32.063,79.000000,255.000000,3003.800000,266495.447200,107.330000
32.093,79.000000,107.000000,3003.800000,266495.447200,107.330000
32.122,79.000000,107.000000,6482.000000,266495.447200,107.330000
32.927,79.000000,107.000000,6482.000000,266495.447200,1382.636000
32.959,79.000000,107.000000,6482.000000,28659.321000,1382.636000
32.989,8.000000,107.000000,6482.000000,28659.321000,1382.636000
33.018,8.000000,138.000000,6482.000000,28659.321000,1382.636000
33.047,8.000000,138.000000,3490.900000,28659.321000,1382.636000
33.928,8.000000,138.000000,3490.900000,28659.321000,1532.672000
33.982,8.000000,138.000000,3490.900000,-342174.552800,1532.672000
34.031,154.000000,138.000000,3490.900000,-342174.552800,1532.672000
34.060,154.000000,6.000000,3490.900000,-342174.552800,1532.672000
34.101,154.000000,6.000000,1005.200000,-342174.552800,1532.672000
34.928,154.000000,6.000000,1005.200000,-342174.552800,1907.762000
35.040,154.000000,6.000000,1005.200000,-278517.335800,1907.762000
35.068,172.000000,6.000000,1005.200000,-278517.335800,1907.762000
35.122,172.000000,254.000000,1005.200000,-278517.335800,1907.762000
35.150,172.000000,254.000000,5332.100000,-278517.335800,1907.762000
35.925,172.000000,254.000000,5332.100000,-278517.335800,2207.834000
35.987,172.000000,254.000000,5332.100000,32269.900200,2207.834000
36.014,9.000000,254.000000,5332.100000,32269.900200,2207.834000
36.044,9.000000,157.000000,5332.100000,32269.900200,2207.834000
36.071,9.000000,157.000000,6540.500000,32269.900200,2207.834000
36.930,9.000000,157.000000,6540.500000,32269.900200,407.402000
37.088,9.000000,157.000000,6540.500000,-311022.009400,407.402000
37.147,163.000000,157.000000,6540.500000,-311022.009400,407.402000
37.175,163.000000,78.000000,6540.500000,-311022.009400,407.402000
37.203,163.000000,78.000000,5923.300000,-311022.009400,407.402000
37.925,163.000000,78.000000,5923.300000,-311022.009400,2282.852000
38.000,163.000000,78.000000,5923.300000,-113084.650000,2282.852000
38.028,222.000000,78.000000,5923.300000,-113084.650000,2282.852000
38.057,222.000000,76.000000,5923.300000,-113084.650000,2282.852000
38.085,222.000000,76.000000,2135.800000,-113084.650000,2282.852000
38.929,222.000000,76.000000,2135.800000,-113084.650000,3108.050000
39.058,222.000000,76.000000,2135.800000,107987.110200,3108.050000
39.085,32.000000,76.000000,2135.800000,107987.110200,3108.050000
39.112,32.000000,46.000000,2135.800000,107987.110200,3108.050000
39.140,32.000000,46.000000,4998.300000,107987.110200,3108.050000
39.929,32.000000,46.000000,4998.300000,107987.110200,407.402000
40.025,32.000000,46.000000,4998.300000,-39642.918600,407.402000
40.066,244.000000,46.000000,4998.300000,-39642.918600,407.402000
40.093,244.000000,47.000000,4998.300000,-39642.918600,407.402000
40.121,244.000000,47.000000,3180.700000,-39642.918600,407.402000
40.930,244.000000,47.000000,3180.700000,-39642.918600,707.474000
41.054,244.000000,47.000000,3180.700000,211265.506200,707.474000
41.084,62.000000,47.000000,3180.700000,211265.506200,707.474000
41.142,62.000000,246.000000,3180.700000,211265.506200,707.474000
41.170,62.000000,246.000000,1828.300000,211265.506200,707.474000
41.929,62.000000,246.000000,1828.300000,211265.506200,2657.942000
42.017,62.000000,246.000000,1828.300000,-344685.611000,2657.942000
42.077,153.000000,246.000000,1828.300000,-344685.611000,2657.942000
42.107,153.000000,70.000000,1828.300000,-344685.611000,2657.942000
42.135,153.000000,70.000000,3767.300000,-344685.611000,2657.942000
42.925,153.000000,70.000000,3767.300000,-344685.611000,2282.852000
42.998,153.000000,70.000000,3767.300000,-29157.314800,2282.852000
43.025,247.000000,70.000000,3767.300000,-29157.314800,2282.852000
43.057,247.000000,79.000000,3767.300000,-29157.314800,2282.852000
43.085,247.000000,79.000000,3102.600000,-29157.314800,2282.852000
43.929,247.000000,79.000000,3102.600000,-29157.314800,1982.780000
44.008,247.000000,79.000000,3102.600000,-361083.178000,1982.780000
44.042,148.000000,79.000000,3102.600000,-361083.178000,1982.780000
44.072,148.000000,99.000000,3102.600000,-361083.178000,1982.780000
44.102,148.000000,99.000000,3537.400000,-361083.178000,1982.780000
44.921,148.000000,99.000000,3537.400000,-361083.178000,2732.960000
45.005,148.000000,99.000000,3537.400000,247664.708000,2732.960000
45.035,73.000000,99.000000,3537.400000,247664.708000,2732.960000
45.162,73.000000,207.000000,3537.400000,247664.708000,2732.960000
45.368,73.000000,207.000000,2082.000000,247664.708000,2732.960000
45.964,73.000000,207.000000,2082.000000,247664.708000,1532.672000
46.029,73.000000,207.000000,2082.000000,356166.772600,1532.672000
46.058,106.000000,207.000000,2082.000000,356166.772600,1532.672000
46.090,106.000000,37.000000,2082.000000,356166.772600,1532.672000
46.119,106.000000,37.000000,2413.500000,356166.772600,1532.672000
46.957,106.000000,37.000000,2413.500000,356166.772600,32.312000
47.060,106.000000,37.000000,2413.500000,-414776.550800,32.312000
47.089,132.000000,37.000000,2413.500000,-414776.550800,32.312000
47.119,132.000000,99.000000,2413.500000,-414776.550800,32.312000
47.149,132.000000,99.000000,396.600000,-414776.550800,32.312000
47.938,132.000000,99.000000,396.600000,-414776.550800,482.420000
48.032,132.000000,99.000000,396.600000,168592.545000,482.420000
48.064,50.000000,99.000000,396.600000,168592.545000,482.420000
48.096,50.000000,62.000000,396.600000,168592.545000,482.420000
48.126,50.000000,62.000000,3869.300000,168592.545000,482.420000
48.931,50.000000,62.000000,3869.300000,168592.545000,32.312000
49.056,50.000000,62.000000,3869.300000,124872.197200,32.312000
49.086,37.000000,62.000000,3869.300000,124872.197200,32.312000
49.116,37.000000,54.000000,3869.300000,124872.197200,32.312000
49.146,37.000000,54.000000,6505.000000,124872.197200,32.312000
49.938,37.000000,54.000000,6505.000000,124872.197200,-117.724000
49.996,37.000000,54.000000,6505.000000,323584.839800,-117.724000
50.061,96.000000,54.000000,6505.000000,323584.839800,-117.724000
50.091,96.000000,111.000000,6505.000000,323584.839800,-117.724000
50.121,96.000000,111.000000,3696.700000,323584.839800,-117.724000
50.939,96.000000,111.000000,3696.700000,323584.839800,1382.636000
50.985,96.000000,111.000000,3696.700000,-134096.534600,1382.636000
51.011,216.000000,111.000000,3696.700000,-134096.534600,1382.636000
51.039,216.000000,9.000000,3696.700000,-134096.534600,1382.636000
51.068,216.000000,9.000000,1614.300000,-134096.534600,1382.636000
51.940,216.000000,9.000000,1614.300000,-134096.534600,-42.706000
52.122,216.000000,9.000000,1614.300000,-128437.440600,-42.706000
52.150,217.000000,9.000000,1614.300000,-128437.440600,-42.706000
52.178,217.000000,185.000000,1614.300000,-128437.440600,-42.706000
52.275,217.000000,185.000000,6.100000,-128437.440600,-42.706000
52.909,217.000000,185.000000,6.100000,-128437.440600,-267.760000
52.987,217.000000,185.000000,6.100000,213804.238400,-267.760000
53.001,63.000000,185.000000,6.100000,213804.238400,-267.760000
53.014,63.000000,183.000000,6.100000,213804.238400,-267.760000
53.098,63.000000,183.000000,6349.600000,213804.238400,-267.760000
53.930,63.000000,183.000000,6349.600000,213804.238400,-42.706000
54.059,63.000000,183.000000,6349.600000,-397610.589400,-42.706000
54.125,137.000000,183.000000,6349.600000,-397610.589400,-42.706000
54.152,137.000000,128.000000,6349.600000,-397610.589400,-42.706000
54.180,137.000000,128.000000,4714.900000,-397610.589400,-42.706000
54.966,137.000000,128.000000,4714.900000,-397610.589400,3183.068000
55.016,137.000000,128.000000,4714.900000,-407383.280000,3183.068000
55.044,134.000000,128.000000,4714.900000,-407383.280000,3183.068000
55.072,134.000000,151.000000,4714.900000,-407383.280000,3183.068000
55.100,134.000000,151.000000,801.600000,-407383.280000,3183.068000
55.950,134.000000,151.000000,801.600000,-407383.280000,1307.618000
