time
ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,StrainGauge
9.446,112.000000,196.000000,1383.200000,376152.173200,3183.068000
9.473,112.000000,26.000000,1383.200000,376152.173200,3183.068000
9.502,112.000000,26.000000,873.800000,376152.173200,3183.068000
10.340,112.000000,26.000000,873.800000,376152.173200,1007.546000
10.377,112.000000,26.000000,873.800000,209741.630400,1007.546000
10.409,62.000000,26.000000,873.800000,209741.630400,1007.546000
10.439,62.000000,130.000000,873.800000,209741.630400,1007.546000
10.471,62.000000,130.000000,108.000000,209741.630400,1007.546000
11.330,62.000000,130.000000,108.000000,209741.630400,1682.708000
11.383,62.000000,130.000000,108.000000,-376346.452800,1682.708000
11.425,143.000000,130.000000,108.000000,-376346.452800,1682.708000
11.467,143.000000,215.000000,108.000000,-376346.452800,1682.708000
11.510,143.000000,215.000000,290.400000,-376346.452800,1682.708000
12.330,143.000000,215.000000,290.400000,-376346.452800,2132.816000
