time,ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,GLVPower
1.229,0.000000,0.000000,0.000000,0.000000,0.175000
1.248,0.000000,0.000000,0.000000,346522.184600,0.175000
1.267,103.000000,0.000000,0.000000,346522.184600,0.175000
1.281,103.000000,69.000000,0.000000,346522.184600,0.175000
1.300,103.000000,69.000000,3569.100000,346522.184600,0.175000
2.194,103.000000,69.000000,3569.100000,346522.184600,0.275000
2.207,103.000000,69.000000,3569.100000,137986.771800,0.275000
2.222,41.000000,69.000000,3569.100000,137986.771800,0.275000
2.235,41.000000,31.000000,3569.100000,137986.771800,0.275000
2.249,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.274,41.000000,31.000000,3638.700000,137986.771800,0.100000
3.290,41.000000,31.000000,3638.700000,416079.837000,0.100000
3.311,124.000000,31.000000,3638.700000,416079.837000,0.100000
3.332,124.000000,0.000000,3638.700000,416079.837000,0.100000
3.346,124.000000,0.000000,2440.100000,416079.837000,0.100000
4.244,124.000000,0.000000,2440.100000,416079.837000,0.175000
4.259,124.000000,0.000000,2440.100000,396139.626400,0.175000
4.273,118.000000,0.000000,2440.100000,396139.626400,0.175000
4.290,118.000000,15.000000,2440.100000,396139.626400,0.175000
4.306,118.000000,15.000000,360.400000,396139.626400,0.175000
5.280,118.000000,15.000000,360.400000,396139.626400,0.425000
5.295,118.000000,15.000000,360.400000,345550.556400,0.425000
5.309,102.000000,15.000000,360.400000,345550.556400,0.425000
5.333,102.000000,251.000000,360.400000,345550.556400,0.425000
5.347,102.000000,251.000000,2721.400000,345550.556400,0.425000
6.246,102.000000,251.000000,2721.400000,345550.556400,0.225000
6.262,102.000000,251.000000,2721.400000,125428.339800,0.225000
6.279,37.000000,251.000000,2721.400000,125428.339800,0.225000
6.297,37.000000,97.000000,2721.400000,125428.339800,0.225000
6.310,37.000000,97.000000,2771.500000,125428.339800,0.225000
7.269,37.000000,97.000000,2771.500000,125428.339800,-0.050000
7.286,37.000000,97.000000,2771.500000,-282723.275200,-0.050000
7.308,171.000000,97.000000,2771.500000,-282723.275200,-0.050000
7.322,171.000000,189.000000,2771.500000,-282723.275200,-0.050000
7.337,171.000000,189.000000,6068.000000,-282723.275200,-0.050000
8.234,171.000000,189.000000,6068.000000,-282723.275200,0.550000
8.262,171.000000,189.000000,6068.000000,49547.982400,0.550000
8.280,14.000000,189.000000,6068.000000,49547.982400,0.550000
8.295,14.000000,196.000000,6068.000000,49547.982400,0.550000
8.311,14.000000,196.000000,1383.200000,49547.982400,0.550000
9.225,14.000000,196.000000,1383.200000,49547.982400,0.250000
9.245,14.000000,196.000000,1383.200000,376152.173200,0.250000
9.275,112.000000,196.000000,1383.200000,376152.173200,0.250000
9.292,112.000000,26.000000,1383.200000,376152.173200,0.250000
9.307,112.000000,26.000000,873.800000,376152.173200,0.250000
10.224,112.000000,26.000000,873.800000,376152.173200,0.375000
10.239,112.000000,26.000000,873.800000,209741.630400,0.375000
10.256,62.000000,26.000000,873.800000,209741.630400,0.375000
10.273,62.000000,130.000000,873.800000,209741.630400,0.375000
10.292,62.000000,130.000000,108.000000,209741.630400,0.375000
11.278,62.000000,130.000000,108.000000,209741.630400,0.150000
11.310,62.000000,130.000000,108.000000,-376346.452800,0.150000
11.341,143.000000,130.000000,108.000000,-376346.452800,0.150000
11.367,143.000000,215.000000,108.000000,-376346.452800,0.150000
11.390,143.000000,215.000000,290.400000,-376346.452800,0.150000
12.240,143.000000,215.000000,290.400000,-376346.452800,0.425000
12.271,143.000000,215.000000,290.400000,169801.736800,0.425000
12.290,50.000000,215.000000,290.400000,169801.736800,0.425000
12.309,50.000000,154.000000,290.400000,169801.736800,0.425000
